
v = 9.5000  launch_thetha = 47.4663  launch_theta_max = 52.2763
v = 10.0000  launch_thetha = 44.4363  launch_theta_max = 51.6463
v = 10.5000  launch_thetha = 41.8163  launch_theta_max = 51.5863
v = 11.0000  launch_thetha = 39.5263  launch_theta_max = 51.8463
v = 11.5000  launch_thetha = 37.4963  launch_theta_max = 44.0363
v = 12.0000  launch_thetha = 35.6863  launch_theta_max = 64.7563
v = 12.5000  launch_thetha = 34.0563  launch_theta_max = 67.8563
v = 13.0000  launch_thetha = 32.5863  launch_theta_max = 70.2063
v = 13.5000  launch_thetha = 31.2363  launch_theta_max = 31.9363
v = 14.0000  launch_thetha = 30.0063  launch_theta_max = 73.6763
v = 14.5000  launch_thetha = 28.8663  launch_theta_max = 75.0163
v = 15.0000  launch_thetha = 27.8263  launch_theta_max = 76.1763
v = 15.5000  launch_thetha = 26.8563  launch_theta_max = 77.1863
v = 16.0000  launch_thetha = 25.9563  launch_theta_max = 78.0863
v = 16.5000  launch_thetha = 25.1563  launch_theta_max = 78.8763
v = 17.0000  launch_thetha = 24.4463  launch_theta_max = 79.5863
v = 17.5000  launch_thetha = 23.8063  launch_theta_max = 80.2363
v = 18.0000  launch_thetha = 23.2263  launch_theta_max = 80.8163
v = 18.5000  launch_thetha = 22.6963  launch_theta_max = 81.3363
v = 19.0000  launch_thetha = 22.2163  launch_theta_max = 81.8263
v = 19.5000  launch_thetha = 21.7763  launch_theta_max = 82.2663
v = 20.0000  launch_thetha = 21.3663  launch_theta_max = 82.6663
v = 20.5000  launch_thetha = 20.9963  launch_theta_max = 83.0363
v = 21.0000  launch_thetha = 20.6463  launch_theta_max = 83.3863
v = 21.5000  launch_thetha = 20.3363  launch_theta_max = 83.7063
v = 22.0000  launch_thetha = 20.0363  launch_theta_max = 83.9963
v = 22.5000  launch_thetha = 19.7663  launch_theta_max = 84.2763
v = 23.0000  launch_thetha = 19.5063  launch_theta_max = 84.5263
v = 23.5000  launch_thetha = 19.2663  launch_theta_max = 84.7663
v = 24.0000  launch_thetha = 19.0463  launch_theta_max = 84.9963
v = 24.5000  launch_thetha = 18.8363  launch_theta_max = 85.1963
